Id;Publication;Lang;Method_Measure;Cue;IntType;DistrPos;Effect;SE;TargetType;DepType;VerbType;DataRequested;DataReceived;Prominence1;Prominence2
2;BadeckerEtAl02E5;EN;SPR_RT;gend;pro;gen;2;13;Match;refl;NA;Y;N;other;other
3;BadeckerEtAl02E6;EN;SPR_RT;gend;pro;prepobj;0;10;Match;refl;NA;Y;N;other;other
7;FelserEtAl09noccom;EN;ET_FPRT;gend;pro;subj_topic;3;8;Match;refl;NA;N;N;subj_topic;subj_AND_topic
7;FelserEtAl09noccom;EN;ET_RRT;gend;pro;subj_topic;-20;19;Match;refl;NA;N;N;subj_topic;subj_AND_topic
9;DillonEtAl13E1refl;EN;ET_FPRT;num;retro;obj;-5.208;5.865;Match;refl;NA;Y;Y;other;other
9;DillonEtAl13E1refl;EN;ET_FPRT;num;retro;obj;1.234;5.869;Mismatch;refl;NA;Y;Y;other;other
9;DillonEtAl13E1refl;EN;ET_RRT;num;retro;obj;20.573;12.671;Match;refl;NA;Y;Y;other;other
9;DillonEtAl13E1refl;EN;ET_RRT;num;retro;obj;5.533;12.153;Mismatch;refl;NA;Y;Y;other;other
11;Sturt03E2;EN;ET_FPRT;gend;retro;obj_topic;12;10;Match;refl;NA;N;N;topic;subj_OR_topic
11;Sturt03E2;EN;ET_FPRT;gend;retro;obj_topic;15;10;Mismatch;refl;NA;N;N;topic;subj_OR_topic
11;Sturt03E2;EN;ET_RRT;gend;retro;obj_topic;-19;10;Match;refl;NA;N;N;topic;subj_OR_topic
11;Sturt03E2;EN;ET_RRT;gend;retro;obj_topic;-29;10;Mismatch;refl;NA;N;N;topic;subj_OR_topic
12;CunningsEtAl13E1LO;EN;ET_FPRT_LO;gend;pro;subj_topic;-5;22;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
12;CunningsEtAl13E1LO;EN;ET_FPRT_LO;gend;pro;subj_topic;-2;16;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
12;CunningsEtAl13E1LO;EN;ET_RRT_LO;gend;pro;subj_topic;-54;60;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
12;CunningsEtAl13E1LO;EN;ET_RRT_LO;gend;pro;subj_topic;-23;75;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
12;CunningsEtAl13E1HI;EN;ET_FPRT_HI;gend;pro;subj_topic;-2;14;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
12;CunningsEtAl13E1HI;EN;ET_FPRT_HI;gend;pro;subj_topic;-2;14;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
12;CunningsEtAl13E1HI;EN;ET_RRT_HI;gend;pro;subj_topic;-28;54;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
12;CunningsEtAl13E1HI;EN;ET_RRT_HI;gend;pro;subj_topic;15;61;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
16;CunningsEtAl14E1;EN;ET_FPRT;gend;pro;subj_topic;-1;9;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
16;CunningsEtAl14E1;EN;ET_FPRT;gend;pro;subj_topic;37;17;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
16;CunningsEtAl14E1;EN;ET_RRT;gend;pro;subj_topic;-6;37;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
16;CunningsEtAl14E1;EN;ET_RRT;gend;pro;subj_topic;29;50;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
17;JaegerEtAl15E1;CN;ET_FPRT;anim;retro;subj;-1;4;Match;refl;NA;Y;N;subj;subj_OR_topic
17;JaegerEtAl15E1;CN;ET_FPRT;anim;retro;subj;19;5;Mismatch;refl;NA;Y;N;subj;subj_OR_topic
17;JaegerEtAl15E1;CN;ET_RRT;anim;retro;subj;22;15;Match;refl;NA;Y;N;subj;subj_OR_topic
17;JaegerEtAl15E1;CN;ET_RRT;anim;retro;subj;14;14;Mismatch;refl;NA;Y;N;subj;subj_OR_topic
18;CunningsEtAl13E2LO;EN;ET_FPRT_LO;gend;retro;subj_topic;-47;15;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
18;CunningsEtAl13E2LO;EN;ET_FPRT_LO;gend;retro;subj_topic;26;15;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
18;CunningsEtAl13E2LO;EN;ET_RRT_LO;gend;retro;subj_topic;45;66;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
18;CunningsEtAl13E2LO;EN;ET_RRT_LO;gend;retro;subj_topic;31;58;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
18;CunningsEtAl13E2HI;EN;ET_FPRT_HI;gend;retro;subj_topic;0;18;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
18;CunningsEtAl13E2HI;EN;ET_FPRT_HI;gend;retro;subj_topic;4;17;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
18;CunningsEtAl13E2HI;EN;ET_RRT_HI;gend;retro;subj_topic;18;46;Match;refl;NA;Y;Y;subj_topic;subj_AND_topic
18;CunningsEtAl13E2HI;EN;ET_RRT_HI;gend;retro;subj_topic;-23;56;Mismatch;refl;NA;Y;Y;subj_topic;subj_AND_topic
19;Sturt03E1;EN;ET_FPRT;gend;pro;subj_topic;-5;30;Match;refl;NA;N;N;subj_topic;subj_AND_topic
19;Sturt03E1;EN;ET_FPRT;gend;pro;subj_topic;-7;30;Mismatch;refl;NA;N;N;subj_topic;subj_AND_topic
19;Sturt03E1;EN;ET_RRT;gend;pro;subj_topic;-47;30;Match;refl;NA;N;N;subj_topic;subj_AND_topic
19;Sturt03E1;EN;ET_RRT;gend;pro;subj_topic;-37;30;Mismatch;refl;NA;N;N;subj_topic;subj_AND_topic
20;BadeckerEtAl02E3;EN;SPR_RT;gend;pro;subj;42;28;Match;refl;NA;Y;N;subj;subj_OR_topic
21;FelserEtAl09inaccMism;EN;ET_FPRT;ccom;pro;subj_topic;4;9;Match;refl;NA;N;N;subj_topic;subj_AND_topic
21;FelserEtAl09inaccMism;EN;ET_RRT;ccom;pro;subj_topic;-15;18;Match;refl;NA;N;N;subj_topic;subj_AND_topic
22;JaegerEtAl15E2;CN;ET_FPRT;anim;pro;memory_3x;15;7;Match;refl;NA;Y;Y;other;other
22;JaegerEtAl15E2;CN;ET_RRT;anim;pro;memory_3x;-13;26;Match;refl;NA;Y;Y;other;other
23;PatilEtAl2016;EN;ET_FPRT;gend;retro;subj;-12;10;Match;refl;NA;Y;Y;subj;subj_OR_topic
23;PatilEtAl2016;EN;ET_FPRT;gend;retro;subj;11;10;Mismatch;refl;NA;Y;Y;subj;subj_OR_topic
23;PatilEtAl2016;EN;ET_RRT;gend;retro;subj;29;14;Match;refl;NA;Y;Y;subj;subj_OR_topic
23;PatilEtAl2016;EN;ET_RRT;gend;retro;subj;4;20;Mismatch;refl;NA;Y;Y;subj;subj_OR_topic
27;ChenEtAl12;CN;SPR_RT;anim;retro;subj;5;9;Match;refl;NA;Y;Y;subj;subj_OR_topic
29;BadeckerEtAl02E4;EN;SPR_RT;num;pro;subj;48;37;Match;reci;NA;Y;N;subj;subj_OR_topic
30;KushEtAl14;HI;SPR_RT;num;retro;prepobj;-2;25;Match;reci;NA;Y;Y;other;other
30;KushEtAl14;HI;SPR_RT;num;retro;prepobj;30;25;Mismatch;reci;NA;Y;Y;other;other
31;FranckEtAl15;FR;SPR_RT;num;pro;obj;50;25;Match;agreement;sing;Y;Y;other;other
32;DillonEtAl13E1agrmt;EN;ET_FPRT;num;retro;obj;17;18;Match;agreement;sing;Y;Y;other;other
32;DillonEtAl13E1agrmt;EN;ET_RRT;num;retro;obj;45;40;Match;agreement;sing;Y;Y;other;other
32;DillonEtAl13E1agrmt;EN;ET_FPRT;num;retro;obj;-6;23;Mismatch;agreement;plural;Y;Y;other;other
32;DillonEtAl13E1agrmt;EN;ET_RRT;num;retro;obj;-115;57;Mismatch;agreement;plural;Y;Y;other;other
34;LagoEtAl15E1;SP;SPR_RT;num;pro;subj;4;14;Match;agreement;sing;Y;Y;subj;subj_OR_topic
34;LagoEtAl15E1;SP;SPR_RT;num;pro;subj;-39;14;Mismatch;agreement;plural;Y;Y;subj;subj_OR_topic
35;LagoEtAl15E2;EN;SPR_RT;num;pro;subj;-8;8;Match;agreement;sing;Y;Y;subj;subj_OR_topic
35;LagoEtAl15E2;EN;SPR_RT;num;pro;subj;-36;18;Mismatch;agreement;plural;Y;Y;subj;subj_OR_topic
36;LagoEtAl15E3b;SP;SPR_RT;num;pro;subj;-12;9;Match;agreement;sing;Y;Y;subj;subj_OR_topic
36;LagoEtAl15E3b;SP;SPR_RT;num;pro;subj;-22;12;Mismatch;agreement;plural;Y;Y;subj;subj_OR_topic
39;WagersEtAl09E2;EN;SPR_RT;num;pro;subj;6;17;Match;agreement;sing;N;N;subj;subj_OR_topic
39;WagersEtAl09E2;EN;SPR_RT;num;pro;subj;-58;17;Mismatch;agreement;plural;N;N;subj;subj_OR_topic
40;WagersEtAl09E3RNsing;EN;SPR_RT;num;pro;subj;10;10;Match;agreement;sing;N;N;subj;subj_OR_topic
40;WagersEtAl09E3RNsing;EN;SPR_RT;num;pro;subj;-20;10;Mismatch;agreement;plural;N;N;subj;subj_OR_topic
40;WagersEtAl09E3RNplu;EN;SPR_RT;num;pro;subj;10;10;Match;agreement;plural;N;N;subj;subj_OR_topic
40;WagersEtAl09E3RNplu;EN;SPR_RT;num;pro;subj;5;10;Mismatch;agreement;sing;N;N;subj;subj_OR_topic
42;LagoEtAl15E3a;SP;SPR_RT;num;pro;subj;12;6;Match;agreement;sing;Y;Y;subj;subj_OR_topic
42;LagoEtAl15E3a;SP;SPR_RT;num;pro;subj;-15;7;Mismatch;agreement;plural;Y;Y;subj;subj_OR_topic
47;PearlmutterEtAl99E1;EN;SPR_RT;num;retro;pp;-35;9;Match;agreement;sing;N;N;other;other
47;PearlmutterEtAl99E1;EN;SPR_RT;num;retro;pp;19;9;Mismatch;agreement;plural;N;N;other;other
48;PearlmutterEtAl99E2;EN;ET_FPRT;num;retro;pp;-36;18;Match;agreement;sing;N;N;other;other
48;PearlmutterEtAl99E2;EN;ET_FPRT;num;retro;pp;-5;13;Mismatch;agreement;plural;N;N;other;other
49;PearlmutterEtAl99E3sing;EN;SPR_RT;num;retro;pp;-36;9;Match;agreement;sing;N;N;other;other
49;PearlmutterEtAl99E3plu;EN;SPR_RT;num;retro;pp;+24;10;Match;agreement;plural;N;N;other;other
51;TuckerEtAl2015;AR;SPR_RT;num;retro;obj;-7;7;Match;agreement;sing;N;N;other;other
51;TuckerEtAl2015;AR;SPR_RT;num;retro;obj;-29;14;Mismatch;agreement;plural;N;N;other;other
52;WagersEtAl09E4pp;EN;SPR_RT;num;retro;pp;-17;10;Match;agreement;sing;N;N;other;other
52;WagersEtAl09E4pp;EN;SPR_RT;num;retro;pp;-32;11;Mismatch;agreement;plural;N;N;other;other
53;FranckEtAl15E1RC;FR;SPR_RT;num;pro;obj;100;25;Match;agreement;sing;Y;Y;other;other
54;VanDyke07E1LoSem;EN;SPR_RT;subj;retro;pp_subj;13;30;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
55;VanDyke07E2LoSem;EN;ET_FPRT;subj;retro;pp_subj;37;21;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
55;VanDyke07E2LoSem;EN;ET_RRT;subj;retro;pp_subj;42;71;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
56;VanDyke07E3LoSem;EN;ET_FPRT;subj;retro;pp_subj;20;11;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
56;VanDyke07E3LoSem;EN;ET_RRT;subj;retro;pp_subj;17;28;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
57;VanDykeEtal03E4;EN;SPR_RT;subj;retro;pp_subj;56;25;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
60;VanDykeEtAl11E2bpro;EN;ET_FPRT;subj;pro;obj;7;9;Match;nonagreement;sing;Y;N;other;other
60;VanDykeEtAl11E2bpro;EN;ET_RRT;subj;pro;obj;33;22;Match;nonagreement;sing;Y;N;other;other
61;VanDykeEtAl11E2bretro;EN;ET_FPRT;subj;retro;obj;-7;9;Match;nonagreement;sing;Y;N;other;other
61;VanDykeEtAl11E2bretro;EN;ET_RRT;subj;retro;obj;9;22;Match;nonagreement;sing;Y;N;other;other
62;VanDyke07E3LoSyn;EN;ET_FPRT;subj;retro;pp;8;8;Match;nonagreement;sing;Y;N;other;other
62;VanDyke07E3LoSyn;EN;ET_RRT;subj;retro;pp;-1;25;Match;nonagreement;sing;Y;N;other;other
63;VanDyke07E1LoSyn;EN;SPR_RT;subj;retro;pp;54;34;Match;nonagreement;sing;Y;N;other;other
64;VanDykeE2LoSyn;EN;ET_FPRT;subj;retro;pp;44;19;Match;nonagreement;sing;Y;N;other;other
64;VanDykeE2LoSyn;EN;ET_RRT;subj;retro;pp;17;35;Match;nonagreement;sing;Y;N;other;other
65;VanDykeEtAl06;EN;SPR_RT;sem;pro;memory_3x;38;20;Match;nonagreement;sing;Y;N;other;other
68;VanDykeEtAl11E1bpro;EN;ET_FPRT;subj;pro;subj;5;8;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
68;VanDykeEtAl11E1bpro;EN;ET_RRT;subj;pro;subj;15;20;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
69;VanDykeEtAl11E1bretro;EN;ET_FPRT;subj;pro;subj;-2;11;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
69;VanDykeEtAl11E1bretro;EN;ET_RRT;subj;pro;subj;83;33;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
70;WagersEtAl09E5;EN;ET_SPR;num;retro;pp;-7;5;Match;agreement;sing;N;N;other;other
70;WagersEtAl09E5;EN;ET_SPR;num;retro;pp;-58;12;Mismatch;agreement;sing;N;N;other;other
71;WagersEtAl09E6;EN;ET_SPR;num;retro;pp;-1;4;Match;agreement;sing;N;N;other;other