"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",7.3957,14.7914,NA,1
3,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other",0.0316000000000001,0.0316000000000001,NA,1
2,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.5,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other",0.681,1.362,NA,1
2,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"FelserEtAl09noccom","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",2.6294,2.6294,NA,1
2,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other",2.05985,7.9794,0.26,-1
1,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"Sturt03E2","EN","ET","FPRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",5.0536,1.5614,17.0916,-1
7,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl13E1LO","EN","ET","FPRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",1.5313,1.5868,1.4758,-1
7,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl13E1HI","EN","ET","FPRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",1.4577,1.4886,1.4268,1
7,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl14E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",11.32075,2.419,40.445,-1
1,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.9,-1,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",3.90885,15.223,0.206199999999999,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,2,1,1,"CunningsEtAl13E2LO","EN","ET","FPRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",27.22075,31.8976,45.0878,-1
7,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,4,1,1,"CunningsEtAl13E2HI","EN","ET","FPRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",2.2718,2.5214,6.5658,-1
6,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,3.5,1,1,"Sturt03E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",0.9281,0.5818,1.2744,1
4,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj_OR_topic",22.1448,22.1448,NA,1
2,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"FelserEtAl09inaccMism","EN","ET","FPRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",3.5842,3.5842,NA,1
5,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-1,1,3,"JaegerEtAl15E2","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other",0.3246,0.3246,NA,1
7,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,2,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",8.94735,3.0712,29.647,-1
1,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",8.7966,8.7966,NA,1
4,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj_OR_topic",21.0906,21.0906,NA,1
36,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.4,-1.5,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other",5.5122,13.8476,4.1006,1
7,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",31.9936,31.9936,NA,1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other",0.8676,0.2288,1.5064,1
6,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",5.0397,3.3604,6.719,1
7,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",4.1396,5.0486,3.2306,1
7,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",5.9471,1.1196,10.7746,1
6,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",9.3708,6.2732,12.4684,1
3,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0,1,1,"WagersEtAl09E3RNsing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",8.8228,8.3698,9.2758,1
2,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-0.5,1,1,"WagersEtAl09E3RNplu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj_OR_topic",2.3342,1.8084,5.72,1
3,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",4.2124,6.42,2.0048,1
2,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",13.90705,39.25,16.3782,-1
1,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-3,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other",12.49675,38.9454,5.5208,-1
1,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-3,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",19.5102,39.0204,NA,1
6,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-0.5,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other",2.2754,2.2754,NA,1
6,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-0.5,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other",14.30145,34.7174,11.2442,1
6,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-0.5,1,1,"WagersEtAl09E4pp","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",17.9525,45.1288,13.3406,1
7,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",81.7674,81.7674,NA,1
1,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",5.7042,5.7042,NA,1
3,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",1.4148,1.4148,NA,1
1,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",1.129,1.129,NA,1
3,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",20.583,20.583,NA,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-1,1,1,"VanDykeEtAl11E2bpro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other",0.0293999999999999,0.0293999999999999,NA,1
2,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"VanDykeEtAl11E2bretro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other",5.111,10.222,NA,1
3,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",0.28,0.28,NA,1
7,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other",17.4766,17.4766,NA,1
7,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0,1,1,"VanDykeE2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",6.7216,6.7216,NA,1
6,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-0.5,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other",6.0452,6.0452,NA,1
1,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-1,1,1,"VanDykeEtAl11E1bpro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",2.636,2.636,NA,1
6,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"VanDykeEtAl11E1bretro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",1.8368,1.8368,NA,1
7,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",16.9949,43.5076,12.236,1
1,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-3,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",2.2828,4.5656,NA,1
2,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-2.5,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other",0.634,0.634,NA,1
1,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-3,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other",0.5435,1.087,NA,1
1,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1,1,1,"FelserEtAl09noccom","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",4.4002,4.4002,NA,1
1,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other",1.78385,6.4054,0.73,-1
1,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1,1,1,"Sturt03E2","EN","ET","FPRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",5.58515,2.6594,17.0218,-1
7,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl13E1LO","EN","ET","FPRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",1.5315,2.0074,1.0556,-1
7,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl13E1HI","EN","ET","FPRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",1.0604,1.0734,1.0474,1
7,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl14E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",11.03975,2.0386,40.0818,-1
7,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-0.3,-1,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",2.8169,10.5812,0.3432,1
4,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,2.5,1,1,"CunningsEtAl13E2LO","EN","ET","FPRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",27.54425,35.202,39.773,-1
7,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,4,1,1,"CunningsEtAl13E2HI","EN","ET","FPRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",2.51845,3.012,7.0618,-1
6,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,3.5,1,1,"Sturt03E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",1.0777,0.136,2.0194,1
4,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj_OR_topic",18.5346,18.5346,NA,1
1,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1,1,1,"FelserEtAl09inaccMism","EN","ET","FPRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",4.0156,4.0156,NA,1
4,0.15,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-1.5,1,3,"JaegerEtAl15E2","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other",0.859,0.859,NA,1
1,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",8.2039,20.8784,11.9372,-1
5,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,1,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",2.5182,2.5182,NA,1
4,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj_OR_topic",17.4714,17.4714,NA,1
50,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,0,-1,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other",5.1322,15.7652,2.3818,1
7,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",21.9772,21.9772,NA,1
6,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other",1.9482,1.564,2.3324,1
6,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1.5,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",10.8519,15.1232,6.5806,1
6,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1.5,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",6.5902,2.9572,10.2232,1
7,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",7.1376,6.8354,7.4398,1
5,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",2.6788,3.842,1.5156,1
3,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0,1,1,"WagersEtAl09E3RNsing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",10.7327,17.7904,3.675,1
1,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-1,1,1,"WagersEtAl09E3RNplu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj_OR_topic",2.0268,1.46,5.1872,1
2,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-0.5,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",6.7157,6.2656,7.1658,1
1,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",13.74125,36.2252,18.7398,-1
1,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other",11.79105,37.6274,4.7684,-1
1,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",19.1491,38.2982,NA,1
7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other",4.2024,4.2024,NA,1
7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other",11.03475,35.1066,4.5162,1
7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0,1,1,"WagersEtAl09E4pp","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",15.09425,45.5554,7.4108,1
7,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",71.2762,71.2762,NA,1
1,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",0.611599999999999,0.611599999999999,NA,1
4,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",6.4532,6.4532,NA,1
2,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",0.705200000000001,0.705200000000001,NA,1
4,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",25.3882,25.3882,NA,1
4,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-1.5,1,1,"VanDykeEtAl11E2bpro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other",1.2316,1.2316,NA,1
1,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"VanDykeEtAl11E2bretro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other",4.4593,8.9186,NA,1
4,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1.5,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",1.261,1.261,NA,1
7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other",25.5644,25.5644,NA,1
7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0,1,1,"VanDykeE2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",16.0662,16.0662,NA,1
5,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-1,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other",6.889,6.889,NA,1
5,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1,1,1,"VanDykeEtAl11E1bpro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",5.0166,5.0166,NA,1
1,0.2,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-1,1,1,"VanDykeEtAl11E1bretro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",7.075,14.15,NA,1
7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",25.16035,34.963,32.8392,1
1,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",1.1773,2.3546,NA,1
