"","Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
"1",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09noccom","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",15.9903,31.9806,NA,1
"2",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1refl","EN","ET","RRT",NA,"num","retro","obj","refl",NA,"other",9.6676,5.2038,28.2628,1
"3",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"Sturt03E2","EN","ET","RRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",11.48875,34.1546,5.9002,1
"4",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1LO","EN","ET","RRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",25.26605,65.6658,17.6992,-1
"5",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1HI","EN","ET","RRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",15.0466,39.829,20.3574,-1
"6",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl14E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",13.19535,17.8818,34.8996,-1
"7",3,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1.01,0,1,1,"JaegerEtAl15E1","CN","ET","RRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",12.4742,1.4214,23.527,1
"8",4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2LO","EN","ET","RRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",25.7995,6.9696,89.2588,1
"9",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2HI","EN","ET","RRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",1.7508,3.2596,0.242000000000001,1
"10",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"Sturt03E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",30.71155,58.8834,31.9814,-1
"11",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09inaccMism","EN","ET","RRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",13.3442,26.6884,NA,1
"12",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,3,"JaegerEtAl15E2","CN","ET","RRT",NA,"anim","pro","memory_3x","refl",NA,"other",20.5731,41.1462,NA,1
"13",2,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"PatilEtAl2016","EN","ET","RRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",12.78745,6.171,38.8078,1
"14",4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1agrmt","EN","ET","RRT",NA,"num","retro","obj","agreement","sing","other",33.7576,7.9794,59.5358,1
"15",4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E2LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",4.5274,4.5274,NA,1
"16",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",1.6726,1.6726,NA,1
"17",4,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E2bpro","EN","ET","RRT",NA,"subj","pro","obj","nonagreement","sing","other",2.5762,2.5762,NA,1
"18",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDykeEtAl11E2bretro","EN","ET","RRT",NA,"subj","retro","obj","nonagreement","sing","other",6.0944,6.0944,NA,1
"19",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",8.0902,16.1804,NA,1
"20",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDykeE2LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",1.4612,1.4612,NA,1
"21",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bpro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",3.0392,3.0392,NA,1
"22",4,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bretro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",52.95,52.95,NA,1
"23",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09noccom","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",16.9785,33.957,NA,1
"24",2,0.15,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1refl","EN","ET","RRT",NA,"num","retro","obj","refl",NA,"other",6.2942,0.0887999999999991,24.9992,1
"25",3,0.2,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"Sturt03E2","EN","ET","RRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",13.58175,47.2554,3.5358,1
"26",2,0.15,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1LO","EN","ET","RRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",21.3313,75.286,5.0196,-1
"27",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1HI","EN","ET","RRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",17.3541,42.0392,27.3772,-1
"28",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl14E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",15.6016,20.2642,42.1422,-1
"29",3,0.2,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1.01,0,1,1,"JaegerEtAl15E1","CN","ET","RRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",8.1428,1.9382,14.3474,1
"30",4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2LO","EN","ET","RRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",21.103,10.321,63.77,1
"31",2,0.15,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2HI","EN","ET","RRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",3.1387,2.8668,3.4106,1
"32",4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"Sturt03E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",23.96275,82.2198,6.8156,-1
"33",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09inaccMism","EN","ET","RRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",14.6141,29.2282,NA,1
"34",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,3,"JaegerEtAl15E2","CN","ET","RRT",NA,"anim","pro","memory_3x","refl",NA,"other",23.2061,46.4122,NA,1
"35",3,0.2,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"PatilEtAl2016","EN","ET","RRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",8.5254,1.4096,31.2824,1
"36",4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1agrmt","EN","ET","RRT",NA,"num","retro","obj","agreement","sing","other",46.1731,10.1524,82.1938,1
"37",4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E2LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",5.8668,5.8668,NA,1
"38",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",2.9994,2.9994,NA,1
"39",4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E2bpro","EN","ET","RRT",NA,"subj","pro","obj","nonagreement","sing","other",2.8564,2.8564,NA,1
"40",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDykeEtAl11E2bretro","EN","ET","RRT",NA,"subj","retro","obj","nonagreement","sing","other",4.7996,4.7996,NA,1
"41",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",7.6638,15.3276,NA,1
"42",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDykeE2LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",3.4708,3.4708,NA,1
"43",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bpro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",1.0092,1.0092,NA,1
"44",4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bretro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",47.6412,47.6412,NA,1
"45",20,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2.5,1,1,"FelserEtAl09noccom","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",0.727599999999999,0.727599999999999,NA,1
"46",20,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"DillonEtAl13E1refl","EN","ET","RRT",NA,"num","retro","obj","refl",NA,"other",3.1843,1.8306,9.076,1
"47",17,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,1,1,1,"Sturt03E2","EN","ET","RRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",8.17,16.0508,0.289200000000001,1
"48",20,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2.5,1,1,"CunningsEtAl13E1LO","EN","ET","RRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",18.5485,34.6882,2.4088,-1
"49",24,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,3,1,1,"CunningsEtAl13E1HI","EN","ET","RRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",14.5364,13.5848,30.976,-1
"50",21,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,3,1,1,"CunningsEtAl14E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",8.89315,0.127,35.3186,-1
"51",42,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.9,-0.5,1,1,"JaegerEtAl15E1","CN","ET","RRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",0.406700000000001,0.261600000000001,0.5518,1
"52",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2LO","EN","ET","RRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",32.75355,33.8206,63.373,1
"53",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2HI","EN","ET","RRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",7.8283,6.6474,9.0092,1
"54",16,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2,1,1,"Sturt03E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",17.0302,30.556,3.5044,-1
"55",19,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2.5,1,1,"FelserEtAl09inaccMism","EN","ET","RRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",0.3164,0.3164,NA,1
"56",1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-3,1,3,"JaegerEtAl15E2","CN","ET","RRT",NA,"anim","pro","memory_3x","refl",NA,"other",7.2946,14.5892,NA,1
"57",4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"PatilEtAl2016","EN","ET","RRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",4.8816,5.3524,8.8216,1
"58",24,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-0.5,1,1,"DillonEtAl13E1agrmt","EN","ET","RRT",NA,"num","retro","obj","agreement","sing","other",50.8497,11.0044,90.695,1
"59",8,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-0.5,1,1,"VanDyke07E2LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",3.7128,3.7128,NA,1
"60",14,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E3LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",0.0417999999999985,0.0417999999999985,NA,1
"61",24,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-0.5,1,1,"VanDykeEtAl11E2bpro","EN","ET","RRT",NA,"subj","pro","obj","nonagreement","sing","other",18.0922,18.0922,NA,1
"62",17,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"VanDykeEtAl11E2bretro","EN","ET","RRT",NA,"subj","retro","obj","nonagreement","sing","other",0.0044000000000004,0.0044000000000004,NA,1
"63",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-3,1,1,"VanDyke07E3LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",1.3448,2.6896,NA,1
"64",19,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"VanDykeE2LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",2.0892,2.0892,NA,1
"65",8,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-0.5,1,1,"VanDykeEtAl11E1bpro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",0.572800000000001,0.572800000000001,NA,1
"66",16,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bretro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",50.1168,50.1168,NA,1
"67",20,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2.5,1,1,"FelserEtAl09noccom","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",0.0539999999999985,0.0539999999999985,NA,1
"68",23,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"DillonEtAl13E1refl","EN","ET","RRT",NA,"num","retro","obj","refl",NA,"other",3.81695,2.1318,11.0042,1
"69",17,0.1,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,1,1,1,"Sturt03E2","EN","ET","RRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",12.4185,23.8304,1.0066,1
"70",20,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2.5,1,1,"CunningsEtAl13E1LO","EN","ET","RRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",17.3369,34.1206,0.5532,-1
"71",20,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2.5,1,1,"CunningsEtAl13E1HI","EN","ET","RRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",13.6367,8.2288,38.0892,-1
"72",21,0.1,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,3,1,1,"CunningsEtAl14E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",8.96305,0.6948,34.4626,-1
"73",82,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-0.9,0,1,1,"JaegerEtAl15E1","CN","ET","RRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",2.2972,0.496200000000002,4.0982,1
"74",4,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2LO","EN","ET","RRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",25.77565,6.3306,90.4414,1
"75",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2HI","EN","ET","RRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",2.5209,3.0106,2.0312,1
"76",16,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2,1,1,"Sturt03E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",12.277,24.1088,0.4452,-1
"77",12,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,1.5,1,1,"FelserEtAl09inaccMism","EN","ET","RRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",0.818,0.818,NA,1
"78",1,0.1,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-3,1,3,"JaegerEtAl15E2","CN","ET","RRT",NA,"anim","pro","memory_3x","refl",NA,"other",7.8098,15.6196,NA,1
"79",8,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"PatilEtAl2016","EN","ET","RRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",5.95845,5.1488,13.5362,1
"80",24,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"DillonEtAl13E1agrmt","EN","ET","RRT",NA,"num","retro","obj","agreement","sing","other",63.8189,22.3852,105.2526,1
"81",16,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E2LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",3.0308,3.0308,NA,1
"82",7,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"VanDyke07E3LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",1.8526,1.8526,NA,1
"83",24,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,-0.5,1,1,"VanDykeEtAl11E2bpro","EN","ET","RRT",NA,"subj","pro","obj","nonagreement","sing","other",8.4376,8.4376,NA,1
"84",16,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1.5,1,1,"VanDykeEtAl11E2bretro","EN","ET","RRT",NA,"subj","retro","obj","nonagreement","sing","other",0.0220000000000002,0.0220000000000002,NA,1
"85",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-3,1,1,"VanDyke07E3LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",0.9153,1.8306,NA,1
"86",20,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-1,1,1,"VanDykeE2LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",1.4086,1.4086,NA,1
"87",13,0.1,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bpro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",0.0808,0.0808,NA,1
"88",16,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bretro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",44.2832,44.2832,NA,1
